Perusahaan,Posisi,Lokasi,Gaji,Sistem Kerja,Pendidikan Minimal,Pengalaman Kerja,Kriteria,Kriteria_Clean,Kriteria_CF,Kriteria_Token,Kriteria_Stemming,Kriteria_Stopword
PT Sejahtera Abadi Bimantara,Admin Kantor,Jakarta Barat,Rp 4 – 5 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Staff / Officer', 'Administrasi', 'Staf Admin']",Sarjana  S Staff  Officer Administrasi Staf Admin,sarjana  s staff  officer administrasi staf admin,"['sarjana', 's', 'staff', 'officer', 'administrasi', 'staf', 'admin']","['sarjana', 's', 'staff', 'officer', 'administrasi', 'staf', 'admin']",sarjana s staff officer administrasi staf admin
PT Sejahtera Abadi Bimantara,Manager Cabang (Mandarin Speaker),Jakarta Barat,Rp 10 – 12 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Manager / Assistant Manager', 'Ritel', 'Manajemen Ritel']", Tahun Manager  Assistant Manager Ritel Manajemen Ritel, tahun manager  assistant manager ritel manajemen ritel,"['tahun', 'manager', 'assistant', 'manager', 'ritel', 'manajemen', 'ritel']","['tahun', 'manager', 'assistant', 'manager', 'ritel', 'manajemen', 'ritel']",manager assistant manager ritel manajemen ritel
Graha Daffylagio,Staff Accounting Pajak,Jakarta Utara,Rp 2 – 3 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Junior / Entry Level', 'Akuntansi', 'Akuntansi Finansial']",Sarjana  S Junior  Entry Level Akuntansi Akuntansi Finansial,sarjana  s junior  entry level akuntansi akuntansi finansial,"['sarjana', 's', 'junior', 'entry', 'level', 'akuntansi', 'akuntansi', 'finansial']","['sarjana', 's', 'junior', 'entry', 'level', 'akuntansi', 'akuntansi', 'finansial']",sarjana s junior entry level akuntansi akuntansi finansial
PT MACAN SEJAHTERA CAHAYA,Sales,Medan,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Fresh Graduate', 'Junior / Entry Level', 'Sales / Penjualan', 'Konsultan Penjualan']",DiplomaDDD Fresh Graduate Junior  Entry Level Sales  Penjualan Konsultan Penjualan,diplomaddd fresh graduate junior  entry level sales  penjualan konsultan penjualan,"['diplomaddd', 'fresh', 'graduate', 'junior', 'entry', 'level', 'sales', 'penjualan', 'konsultan', 'penjualan']","['diplomaddd', 'fresh', 'graduate', 'junior', 'entry', 'level', 'sales', 'jual', 'konsultan', 'jual']",diplomaddd fresh graduate junior entry level sales jual konsultan jual
Toko Mutiara Indah,Admin Host Live Streaming,Jakarta Barat,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Sales / Penjualan', 'E-Commerce & Marketplace']",Staff  Officer Sales  Penjualan ECommerce  Marketplace,staff  officer sales  penjualan ecommerce  marketplace,"['staff', 'officer', 'sales', 'penjualan', 'ecommerce', 'marketplace']","['staff', 'officer', 'sales', 'jual', 'ecommerce', 'marketplace']",staff officer sales jual ecommerce marketplace
PT HONGMING TRADE INDONESIA,Translator Bahasa Mandarin-Indonesia,Cikarang,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Teknik', 'Penerbangan']",Staff  Officer Teknik Penerbangan,staff  officer teknik penerbangan,"['staff', 'officer', 'teknik', 'penerbangan']","['staff', 'officer', 'teknik', 'terbang']",staff officer teknik terbang
Spilla Jewelry,Customer Service/ Jewelry Representative,Makassar,Rp 3 – 4 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['Fresh Graduate', 'Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']",Fresh Graduate Staff  Officer Sales  Penjualan Konsultan Penjualan,fresh graduate staff  officer sales  penjualan konsultan penjualan,"['fresh', 'graduate', 'staff', 'officer', 'sales', 'penjualan', 'konsultan', 'penjualan']","['fresh', 'graduate', 'staff', 'officer', 'sales', 'jual', 'konsultan', 'jual']",fresh graduate staff officer sales jual konsultan jual
PT. Lampungutama Construksindo,Digital Marketing,Bandar Lampung,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Staff / Officer', 'Marketing / Pemasaran', 'Content Marketing']",Sarjana  S Staff  Officer Marketing  Pemasaran Content Marketing,sarjana  s staff  officer marketing  pemasaran content marketing,"['sarjana', 's', 'staff', 'officer', 'marketing', 'pemasaran', 'content', 'marketing']","['sarjana', 's', 'staff', 'officer', 'marketing', 'pasar', 'content', 'marketing']",sarjana s staff officer marketing pasar content marketing
TONG LI INDONESIA,Designer Grafis,Jakarta Utara,Rp 6 – 7 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Lebih dari 10 Tahun', 'Staff / Officer', 'Desain & Arsitektur', 'Desain Grafis']",DiplomaDDD Sarjana  S  Tahun Lebih dari  Tahun Staff  Officer Desain  Arsitektur Desain Grafis,diplomaddd sarjana  s  tahun lebih dari  tahun staff  officer desain  arsitektur desain grafis,"['diplomaddd', 'sarjana', 's', 'tahun', 'lebih', 'dari', 'tahun', 'staff', 'officer', 'desain', 'arsitektur', 'desain', 'grafis']","['diplomaddd', 'sarjana', 's', 'tahun', 'lebih', 'dari', 'tahun', 'staff', 'officer', 'desain', 'arsitektur', 'desain', 'grafis']",diplomaddd sarjana s staff officer desain arsitektur desain grafis
PT. Lampungutama Construksindo,Pengawas Lapangan,Bandar Lampung,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Konstruksi dan Bangunan', 'Site Supervisor / Pengawas Lapangan']",Sarjana  S  Tahun Staff  Officer Konstruksi dan Bangunan Site Supervisor  Pengawas Lapangan,sarjana  s  tahun staff  officer konstruksi dan bangunan site supervisor  pengawas lapangan,"['sarjana', 's', 'tahun', 'staff', 'officer', 'konstruksi', 'dan', 'bangunan', 'site', 'supervisor', 'pengawas', 'lapangan']","['sarjana', 's', 'tahun', 'staff', 'officer', 'konstruksi', 'dan', 'bangun', 'site', 'supervisor', 'awas', 'lapang']",sarjana s staff officer konstruksi bangun site supervisor awas lapang
PT HONGMING TRADE INDONESIA,Sales Marketing,Cikarang,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Sales / Penjualan', 'Akun dan Relasi']",Staff  Officer Sales  Penjualan Akun dan Relasi,staff  officer sales  penjualan akun dan relasi,"['staff', 'officer', 'sales', 'penjualan', 'akun', 'dan', 'relasi']","['staff', 'officer', 'sales', 'jual', 'akun', 'dan', 'relasi']",staff officer sales jual akun relasi
Rumah Sakit Hosana Medica Lippo Cikarang,Terapi Wicara,Cikarang,Negosiasi,Full Time,Diploma/D1/D2/D3,,"['Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Kesehatan & Medis', 'Fisioterapi dan Rehabilitasi']",Sarjana  S Fresh Graduate Junior  Entry Level Kesehatan  Medis Fisioterapi dan Rehabilitasi,sarjana  s fresh graduate junior  entry level kesehatan  medis fisioterapi dan rehabilitasi,"['sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'kesehatan', 'medis', 'fisioterapi', 'dan', 'rehabilitasi']","['sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'sehat', 'medis', 'fisioterapi', 'dan', 'rehabilitasi']",sarjana s fresh graduate junior entry level sehat medis fisioterapi rehabilitasi
Pacific Beauty slimming & spa,Dokter Spesialis Gizi Klinik ( Sp. GK ),Malang,Negosiasi,Full Time,Sarjana / S1,,"['Fresh Graduate', 'Junior / Entry Level', 'Kesehatan & Medis', 'Dokter Spesialis']",Fresh Graduate Junior  Entry Level Kesehatan  Medis Dokter Spesialis,fresh graduate junior  entry level kesehatan  medis dokter spesialis,"['fresh', 'graduate', 'junior', 'entry', 'level', 'kesehatan', 'medis', 'dokter', 'spesialis']","['fresh', 'graduate', 'junior', 'entry', 'level', 'sehat', 'medis', 'dokter', 'spesialis']",fresh graduate junior entry level sehat medis dokter spesialis
Braincode Sinergi Nusantara,Laravel & Phyton Developer,Bogor,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'IT / Information Technology', 'Programmer / Software Development']",DiplomaDDD Sarjana  S Fresh Graduate Junior  Entry Level IT  Information Technology Programmer  Software Development,diplomaddd sarjana  s fresh graduate junior  entry level it  information technology programmer  software development,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'it', 'information', 'technology', 'programmer', 'software', 'development']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'it', 'information', 'technology', 'programmer', 'software', 'development']",diplomaddd sarjana s fresh graduate junior entry level it information technology programmer software development
Trihita Alam Eco School,Shadow Teacher (Guru Pendamping ABK),Denpasar,Rp 3 – 4 Juta,Kontrak,Sarjana / S1,1-2 Tahun,"['Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Guru Pendidikan Khusus']",Junior  Entry Level Pendidikan Dan Pelatihan Guru Pendidikan Khusus,junior  entry level pendidikan dan pelatihan guru pendidikan khusus,"['junior', 'entry', 'level', 'pendidikan', 'dan', 'pelatihan', 'guru', 'pendidikan', 'khusus']","['junior', 'entry', 'level', 'didik', 'dan', 'latih', 'guru', 'didik', 'khusus']",junior entry level didik latih guru didik khusus
CV Sinar karunia Mandiri,Koordinator Gudang,Tangerang,Rp 4 – 5 Juta,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', '6-10 Tahun', 'Lebih dari 10 Tahun', 'Supervisor / Coordinator', 'Transportasi & Logistik', 'Warehouse']",Sarjana  S  Tahun  Tahun Lebih dari  Tahun Supervisor  Coordinator Transportasi  Logistik Warehouse,sarjana  s  tahun  tahun lebih dari  tahun supervisor  coordinator transportasi  logistik warehouse,"['sarjana', 's', 'tahun', 'tahun', 'lebih', 'dari', 'tahun', 'supervisor', 'coordinator', 'transportasi', 'logistik', 'warehouse']","['sarjana', 's', 'tahun', 'tahun', 'lebih', 'dari', 'tahun', 'supervisor', 'coordinator', 'transportasi', 'logistik', 'warehouse']",sarjana s supervisor coordinator transportasi logistik warehouse
FAS Cafe,Head Kitchen,Surabaya,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Supervisor / Coordinator', 'Restaurant', 'Koki / Chef']",DiplomaDDD Sarjana  S Supervisor  Coordinator Restaurant Koki  Chef,diplomaddd sarjana  s supervisor  coordinator restaurant koki  chef,"['diplomaddd', 'sarjana', 's', 'supervisor', 'coordinator', 'restaurant', 'koki', 'chef']","['diplomaddd', 'sarjana', 's', 'supervisor', 'coordinator', 'restaurant', 'koki', 'chef']",diplomaddd sarjana s supervisor coordinator restaurant koki chef
Cup-in Design,Design Grafis Textile,Remote,Rp 5 – 6 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Desain & Arsitektur', 'Desain Grafis']",DiplomaDDD Sarjana  S  Tahun Staff  Officer Desain  Arsitektur Desain Grafis,diplomaddd sarjana  s  tahun staff  officer desain  arsitektur desain grafis,"['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'desain', 'arsitektur', 'desain', 'grafis']","['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'desain', 'arsitektur', 'desain', 'grafis']",diplomaddd sarjana s staff officer desain arsitektur desain grafis
BPR Danamas Surabaya,Finance Supervisor,Surabaya,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Supervisor / Coordinator', 'Akuntansi', 'Manajemen Akuntansi']", Tahun Supervisor  Coordinator Akuntansi Manajemen Akuntansi, tahun supervisor  coordinator akuntansi manajemen akuntansi,"['tahun', 'supervisor', 'coordinator', 'akuntansi', 'manajemen', 'akuntansi']","['tahun', 'supervisor', 'coordinator', 'akuntansi', 'manajemen', 'akuntansi']",supervisor coordinator akuntansi manajemen akuntansi
Malika Beauty Store,Pramuniaga,Surabaya,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Fresh Graduate', 'Staff / Officer', 'Ritel', 'Asisten Ritel']",DiplomaDDD Fresh Graduate Staff  Officer Ritel Asisten Ritel,diplomaddd fresh graduate staff  officer ritel asisten ritel,"['diplomaddd', 'fresh', 'graduate', 'staff', 'officer', 'ritel', 'asisten', 'ritel']","['diplomaddd', 'fresh', 'graduate', 'staff', 'officer', 'ritel', 'asisten', 'ritel']",diplomaddd fresh graduate staff officer ritel asisten ritel
PT Personel Alih Daya Tbk,Telemarketing,Jakarta Barat,Rp 4 – 5 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'Telemarketing / Telesales']",DiplomaDDD Sarjana  S Staff  Officer Sales  Penjualan Telemarketing  Telesales,diplomaddd sarjana  s staff  officer sales  penjualan telemarketing  telesales,"['diplomaddd', 'sarjana', 's', 'staff', 'officer', 'sales', 'penjualan', 'telemarketing', 'telesales']","['diplomaddd', 'sarjana', 's', 'staff', 'officer', 'sales', 'jual', 'telemarketing', 'telesales']",diplomaddd sarjana s staff officer sales jual telemarketing telesales
PT. AGUNG PERKASA ABADI,Marketing Motoris,Tangerang,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Ritel', 'Asisten Ritel']",Staff  Officer Ritel Asisten Ritel,staff  officer ritel asisten ritel,"['staff', 'officer', 'ritel', 'asisten', 'ritel']","['staff', 'officer', 'ritel', 'asisten', 'ritel']",staff officer ritel asisten ritel
CV. Danish Daya Insani,Content Creator,Remote,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Junior / Entry Level', 'Marketing / Pemasaran', 'Content Marketing']",Junior  Entry Level Marketing  Pemasaran Content Marketing,junior  entry level marketing  pemasaran content marketing,"['junior', 'entry', 'level', 'marketing', 'pemasaran', 'content', 'marketing']","['junior', 'entry', 'level', 'marketing', 'pasar', 'content', 'marketing']",junior entry level marketing pasar content marketing
PT. Ori Tata Desain,Admin Data Entry,Tangerang Selatan,Negosiasi,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Junior / Entry Level', 'Administrasi', 'Data Entry']",DiplomaDDD Junior  Entry Level Administrasi Data Entry,diplomaddd junior  entry level administrasi data entry,"['diplomaddd', 'junior', 'entry', 'level', 'administrasi', 'data', 'entry']","['diplomaddd', 'junior', 'entry', 'level', 'administrasi', 'data', 'entry']",diplomaddd junior entry level administrasi data entry
PT Quadra Luminari,Customer Support Officer,Surabaya,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Staff / Officer', 'IT / Information Technology', 'Penjualan & Konsultan IT']",Sarjana  S Staff  Officer IT  Information Technology Penjualan  Konsultan IT,sarjana  s staff  officer it  information technology penjualan  konsultan it,"['sarjana', 's', 'staff', 'officer', 'it', 'information', 'technology', 'penjualan', 'konsultan', 'it']","['sarjana', 's', 'staff', 'officer', 'it', 'information', 'technology', 'jual', 'konsultan', 'it']",sarjana s staff officer it information technology jual konsultan it
PT. Medika Permana Cipta,Staff Teknisi,Bekasi,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Kesehatan & Medis', 'Teknisi Alkes']",DiplomaDDD Sarjana  S Fresh Graduate Junior  Entry Level Kesehatan  Medis Teknisi Alkes,diplomaddd sarjana  s fresh graduate junior  entry level kesehatan  medis teknisi alkes,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'kesehatan', 'medis', 'teknisi', 'alkes']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'sehat', 'medis', 'teknisi', 'alkes']",diplomaddd sarjana s fresh graduate junior entry level sehat medis teknisi alkes
Jaya Abadi Teknik,Admin Stok,Jakarta Barat,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Junior / Entry Level', 'Transportasi & Logistik', 'Warehouse']",DiplomaDDD Sarjana  S  Tahun Junior  Entry Level Transportasi  Logistik Warehouse,diplomaddd sarjana  s  tahun junior  entry level transportasi  logistik warehouse,"['diplomaddd', 'sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'transportasi', 'logistik', 'warehouse']","['diplomaddd', 'sarjana', 's', 'tahun', 'junior', 'entry', 'level', 'transportasi', 'logistik', 'warehouse']",diplomaddd sarjana s junior entry level transportasi logistik warehouse
Khayangan Reflexology & Salon,Hairstylist / Kapster Salon,Malang,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Kecantikan & Perawatan', 'Tata Rambut & Salon']",Staff  Officer Kecantikan  Perawatan Tata Rambut  Salon,staff  officer kecantikan  perawatan tata rambut  salon,"['staff', 'officer', 'kecantikan', 'perawatan', 'tata', 'rambut', 'salon']","['staff', 'officer', 'cantik', 'awat', 'tata', 'rambut', 'salon']",staff officer cantik awat tata rambut salon
Djie Seng Bakery,Supervisor Produksi,Bandung Kota,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', '6-10 Tahun', 'Supervisor / Coordinator', 'Restaurant', 'Baker & Pastry']",DiplomaDDD  Tahun Supervisor  Coordinator Restaurant Baker  Pastry,diplomaddd  tahun supervisor  coordinator restaurant baker  pastry,"['diplomaddd', 'tahun', 'supervisor', 'coordinator', 'restaurant', 'baker', 'pastry']","['diplomaddd', 'tahun', 'supervisor', 'coordinator', 'restaurant', 'baker', 'pastry']",diplomaddd supervisor coordinator restaurant baker pastry
PT NAGATA ESTETIKA NUSANTARA,Front Office / Resepsionist,Jakarta Barat,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Layanan Pelanggan', 'Resepsionis / Front Office']",DiplomaDDD Sarjana  S  Tahun Staff  Officer Layanan Pelanggan Resepsionis  Front Office,diplomaddd sarjana  s  tahun staff  officer layanan pelanggan resepsionis  front office,"['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'layanan', 'pelanggan', 'resepsionis', 'front', 'office']","['diplomaddd', 'sarjana', 's', 'tahun', 'staff', 'officer', 'layan', 'langgan', 'resepsionis', 'front', 'office']",diplomaddd sarjana s staff officer layan langgan resepsionis front office
CV. MITRA DUNIA PALLETINDO Cabang Jakarta,Staff Sales,Jakarta Timur,Rp 3 – 4 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Junior / Entry Level', 'Sales / Penjualan', 'Akun dan Relasi']", Tahun Junior  Entry Level Sales  Penjualan Akun dan Relasi, tahun junior  entry level sales  penjualan akun dan relasi,"['tahun', 'junior', 'entry', 'level', 'sales', 'penjualan', 'akun', 'dan', 'relasi']","['tahun', 'junior', 'entry', 'level', 'sales', 'jual', 'akun', 'dan', 'relasi']",junior entry level sales jual akun relasi
PT. TOMYPAK MAKMUR,Staff Quality Control,Tangerang,Rp 5 – 6 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Pabrik dan Manufaktur', 'Mutu Manufaktur (QC/QA)']",Staff  Officer Pabrik dan Manufaktur Mutu Manufaktur QCQA,staff  officer pabrik dan manufaktur mutu manufaktur qcqa,"['staff', 'officer', 'pabrik', 'dan', 'manufaktur', 'mutu', 'manufaktur', 'qcqa']","['staff', 'officer', 'pabrik', 'dan', 'manufaktur', 'mutu', 'manufaktur', 'qcqa']",staff officer pabrik manufaktur mutu manufaktur qcqa
PT Dokumen Kilat Indonesia,Kurir Dokumen,Tangerang Selatan,Rp 2 – 3 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Staff / Officer', 'Transportasi & Logistik', 'Kurir']",DiplomaDDD Staff  Officer Transportasi  Logistik Kurir,diplomaddd staff  officer transportasi  logistik kurir,"['diplomaddd', 'staff', 'officer', 'transportasi', 'logistik', 'kurir']","['diplomaddd', 'staff', 'officer', 'transportasi', 'logistik', 'kurir']",diplomaddd staff officer transportasi logistik kurir
